문장,대분류,중분류,소분류
가볍게 행동하는,부정,,
가볍게 행동하다,부정,,
가볍고,긍정,,
가볍고 보드랍게,긍정,,
가볍고 상쾌하다,긍정,,
가볍고 상쾌한,긍정,,
가볍고 시원하게,긍정,,
가볍고 편안하게,긍정,,
가볍고 환하게,긍정,,
가분가분,긍정,,
가분히,긍정,,
가뿐가뿐,긍정,,
가뿐가뿐하다,긍정,,
가뿐가뿐히,긍정,,
가뿐하게,긍정,,
가뿐하다,긍정,,
가뿐한,긍정,,
가뿐한 느낌,긍정,,
가뿐한 느낌이,긍정,,
가뿐히,긍정,,
가쁘게,부정,,
가쁘게 쉬다,부정,,
가쁘고,부정,,
가쁘고 거칠게,부정,,
가쁘고 급하게,부정,,
가쁜,부정,,
가쁜 증상,부정,,
가살스럽다,부정,,
가소롭게,부정,,
가소롭다,부정,,
가스 중독이나,부정,,
가슴 아파하다,부정,,
가슴 아파함,부정,,
가슴 아프게,부정,,
가슴 아프고,부정,,
가슴 아프다,부정,,
가슴속에 근심이나,부정,,
가슴앓이,부정,,
가슴앓이하다,부정,,
가슴이 갑갑할,부정,,
가슴이 괴롭거나,부정,,
가슴이 그득한,부정,,
가슴이 답답하고,부정,,
가슴이 답답하다,부정,,
가슴이 답답하며,부정,,
가슴이 답답하여,부정,,
가슴이 답답한,부정,,
가슴이 답답해진다,부정,,
가슴이 아프다,부정,,
가슴이 아픈,부정,,
가슴이 울렁거리는,부정,,
가슴이 울렁거리다,부정,,
가슴이 찢어질,부정,,
가습이 답답하고,부정,,
가엽다,부정,,
가엾게,부정,,
가엾게 여겨,부정,,
가엾게 여기다,부정,,
가엾고,부정,,
가엾고 불쌍하다,부정,,
가엾고 불쌍하여,부정,,
가엾고 불쌍한,부정,,
가엾고 불쌍함,부정,,
가엾고 애처롭다,부정,,
가엾다,부정,,
가운데에서 뛰어남,긍정,,
가위눌리다,부정,,
가음 아프고,부정,,
가장 거룩한,긍정,,
가장 뛰어나,긍정,,
가장 뛰어난,긍정,,
가장 올바르게,긍정,,
가장 좋은,긍정,,
가장 중요한,긍정,,
가증맞다,부정,,
가증스럽다,부정,,
가지런하게 하는,긍정,,
가지런하게 하다,긍정,,
가지런하다,긍정,,
가지런하지 아니하다,부정,,
가지런하지 아니한,부정,,
가짜,부정,,
가책이 되어,부정,,
가치,긍정,,
가치 없는,부정,,
가치 있는,긍정,,
가치 있다,긍정,,
가치가,긍정,,
가치가 없다,부정,,
가치가 없을,부정,,
가치가 없이,부정,,
가치가 있다,긍정,,
가치를 믿다,긍정,,
가치를 인정하다,긍정,,
가치보다 비싼,부정,,
가치없는,부정,,
가치있는,긍정,,
가치작거리는,부정,,
가치작거리는 모양,부정,,
가치작거리는 소리,부정,,
가탈스럽다,부정,,
가혹하게,부정,,
가혹하게 착취하여,부정,,
각근하지 못하여,부정,,
각별나다,긍정,,
각별하다,긍정,,
간 장애,부정,,
간 질환의,부정,,
간드러진,긍정,,
간드러진 느낌이,긍정,,
간사스럽게,부정,,
간사스럽게 행동하는,부정,,
간사스럽게 행동하다,부정,,
간사하고,부정,,
간사하다,부정,,
간사한,부정,,
간사한 사람이나,부정,,
간사한 짓을,부정,,
간섭받고,부정,,
간섭하거나,부정,,
간섭하거나 방해하여,부정,,
간섭하고,부정,,
간섭하다,부정,,
간섭하여,부정,,
간신히 짜내는,부정,,
간절하다,긍정,,
간지러워서,부정,,
간지럽게,부정,,
간지럽고,부정,,
간지럽고 자릿한,부정,,
간직하다,긍정,,
간직하지 아니하고,부정,,
간질,부정,,
간질간질하다,부정,,
간질간질한,부정,,
간질간질한 느낌,부정,,
간편하거나,긍정,,
간편하다,긍정,,
갈강병균이,부정,,
갈라서다,부정,,
갈라지는 피부병,부정,,
갈색굳음병,부정,,
갈증이 나고,부정,,
갈증이 심하게,부정,,
갈팡질팡,부정,,
갈팡질팡하다,부정,,
갈팡질팡하며,부정,,
갈피를 잡을 수 없다,부정,,
갈피를 잡지 못하고,부정,,
갈피를 잡지 못하고 이리저리 헤매는 모양,부정,,
갈피를 잡지 못하는,부정,,
갈피를 잡지 못하다,부정,,
감각이 둔하고,부정,,
감각이 마비되고,부정,,
감각적이다,긍정,,
감감히,부정,,
감개무량하다,긍정,,
감격,긍정,,
감격성,긍정,,
감격스럽다,긍정,,
감격스레,긍정,,
감격이,긍정,,
감격적,긍정,,
감격하다,긍정,,
감격하여,긍정,,
감금하여,부정,,
감기,부정,,
감기가,부정,,
감기가 들어,부정,,
감기나,부정,,
감기나 천식,부정,,
감기로,부정,,
감기로 인하여,부정,,
감당하다,긍정,,
감동,긍정,,
감동시킬,긍정,,
감동시킬 만한,긍정,,
감동을 받아,긍정,,
감동을 일으킬,긍정,,
감동을 주거나,긍정,,
감동이,긍정,,
감동이 되는,긍정,,
감동이나,긍정,,
감동이나 고마움을,긍정,,
감동하는,긍정,,
감동하다,긍정,,
감동하여,긍정,,
감동함,긍정,,
감명되다,긍정,,
감명적,긍정,,
감명하다,긍정,,
감모,긍정,,
감미롭다,긍정,,
감병,부정,,
감복하다,긍정,,
감복하여,긍정,,
감사,긍정,,
감사를 표하다,긍정,,
감사하는,긍정,,
감사하는 마음으로,긍정,,
감사하다,긍정,,
감싸고,긍정,,
감싸고 달래다,중립,,
감옥,부정,,
감옥에,부정,,
감정 사납게,부정,,
감정을 건드려,부정,,
감정의 불화,부정,,
감정이 거칠어져,부정,,
감정이 북받쳐,긍정,,
감칠맛이 있을,긍정,,
감탄,긍정,,
감탄스러울,긍정,,
감탄스러울 때,긍정,,
감탄스럽다,긍정,,
감탄적으로,긍정,,
감탄하다,긍정,,
감탄할,긍정,,
감탄할 때,긍정,,
감회가 새롭거나,긍정,,
감회에 젖음,긍정,,
갑갑궁금하다,부정,,
갑갑하고 궁금하다,부정,,
갑갑하다,부정,,
갑갑한,부정,,
갑갑한 증상,부정,,
갑갑할,부정,,
갑갑할 정도로,부정,,
갑분띠,부정,,
갑분싸,부정,,
갑자기 게우는,부정,,
갑자기 놀라거나,부정,,
갑자기 놀라서,부정,,
갑자기 무섭거나,부정,,
갑자기 분별없이,부정,,
갑자기 서늘한,부정,,
갑자기 서늘한서늘한 느낌이,부정,,
갑자기 성을,부정,,
갑자기 소란스럽게,부정,,
갑자기 소름이,부정,,
갑자기 어지러워,부정,,
갑작스러워 두렵거나,부정,,
갑작스럽게 화를,부정,,
값을 매길 수 없을 만큼,긍정,,
값진,긍정,,
강간죄,부정,,
강개무량,부정,,
강개무량하다,부정,,
강구하다,중립,,
강도가,부정,,
강등하여,부정,,
강렬하게,긍정,,
강박,부정,,
강박하여,부정,,
강세,긍정,,
강인하다,긍정,,
강인한,긍정,,
강제로,부정,,
강제로 누르는,부정,,
강제로 누르다,부정,,
강제로 누름,부정,,
강제로 빼앗는,부정,,
강제로 빼앗다,부정,,
강제로 빼앗아,부정,,
강제로 빼앗음,부정,,
강제로 요구하다,부정,,
강제적으로,부정,,
강추,긍정,,
강탈,부정,,
강탈하다,부정,,
강퇴,부정,,
강하게,긍정,,
강하게 만들다,긍정,,
강하게 하다,긍정,,
강하고,긍정,,
강하고 야무지게,긍정,,
강하고 야무지다,긍정,,
강하고 튼튼하게,긍정,,
강하다,긍정,,
강한 비판이나,부정,,
강한 충격을,부정,,
강화하다,긍정,,
갖지 아니하게,부정,,
갖추다,긍정,,
갖추지 못한,부정,,
같잖다,부정,,
같잖아서,부정,,
같잖아서 우스운,부정,,
같잖은,부정,,
같잖은 꼴로,부정,,
갚지 않다,부정,,
개가 무섭거나,부정,,
개가 아프거나,부정,,
개선,긍정,,
개선 방도를,긍정,,
개선하고,긍정,,
개선하다,긍정,,
개선함,긍정,,
개성,긍정,,
개성있는,긍정,,
개성있다,긍정,,
개운치 않거나,부정,,
개운하게,긍정,,
개운하고,긍정,,
개운하고 시원한,긍정,,
개운하고 홀가분해지다,긍정,,
개운하다,긍정,,
개운하지 않고,부정,,
개으름을,부정,,
개이득,긍정,,
개짓하다,부정,,
개회하다,중립,,
갠소,긍정,,
갸륵한,긍정,,
갸륵한 데가,긍정,,
갸름하다,긍정,,
거꾸러뜨리다,부정,,
거꾸로 넘어지거나,부정,,
거두지 못한,부정,,
거드럭거드럭,부정,,
거드럭거리다,부정,,
거들먹거들먹,부정,,
거들먹거들먹하다,부정,,
거들먹거리다,부정,,
거들먹대다,부정,,
거들먹이다,부정,,
거듭 따뜻이,긍정,,
거듭 죄를,부정,,
거뜬하다,긍정,,
거래가 금지된,부정,,
거룩한,긍정,,
거룩한 모습,긍정,,
거룩한 사람,긍정,,
거리끼어,부정,,
거리낌 없이,긍정,,
거만스럽게,부정,,
거만을,부정,,
거만을 떠는,부정,,
거만을 떨다,부정,,
거만하게,부정,,
거만하게 행동하는,부정,,
거만하게 행동하다,부정,,
거만하고,부정,,
거만하다,부정,,
거만한,부정,,
거만한 태도로,부정,,
거무스름한 피고름이,부정,,
거볍게 까부는,부정,,
거볍게 성을,부정,,
거볍게 채신없이,부정,,
거볍게 행동하거나,부정,,
거볍게 행동하는,부정,,
거볍게 행동하다,부정,,
거볍고 온화하게,긍정,,
거부감,부정,,
거부감 없이,긍정,,
거부하거나,부정,,
거부하다,부정,,
거북스럽게,부정,,
거북스럽게 저는,부정,,
거북스럽게 절다,부정,,
거북하거나,부정,,
거북하거나 괴로움,부정,,
거북하거나 괴롭다,부정,,
거북하거나 더럽고,부정,,
거북하게,부정,,
거북하고,부정,,
거북하고 불편한,부정,,
거북하고 주체스럽게,부정,,
거북하다,부정,,
거북한,부정,,
거북한 모양,부정,,
거북한 상태로,부정,,
거북한 소리가,부정,,
거북할,부정,,
거북할 만큼,부정,,
거세고,부정,,
거세고 급하다,부정,,
거슬려,부정,,
거슬려 불쾌하다,부정,,
거슬리거나,부정,,
거슬리거나 마음이,부정,,
거슬리게,부정,,
거슬리게 싫다,부정,,
거슬리는,부정,,
거슬리는 느낌이,부정,,
거슬리다,부정,,
거슬림이 없이,긍정,,
거역하다,부정,,
거역함,부정,,
거의 없다,부정,,
거절하거나,부정,,
거절하거나 싫다는,부정,,
거절하다,부정,,
거짓,부정,,
거짓 없다,긍정,,
거짓말,부정,,
거짓말을,부정,,
거짓없다,긍정,,
거짓으로,부정,,
거짓으로 감정이나,부정,,
거짓으로 꾸며서,부정,,
거짓으로 꾸미는,부정,,
거짓으로 꾸미다,부정,,
거짓으로 꾸민,부정,,
거짓으로 속이다,부정,,
거짓으로 속임,부정,,
거짓을 버리고,긍정,,
거짓이 없고,긍정,,
거짓이 없다,긍정,,
거짓이 없이,긍정,,
거짓이나,부정,,
거추장스러워서,부정,,
거추장스러워서 거슬리거나,부정,,
거추장스럽거나,부정,,
거추장스럽거나 성가시어,부정,,
거추장스럽게,부정,,
거추장스럽게 걸리거나,부정,,
거추장스럽다,부정,,
거추장스레,부정,,
거치적거리는,부정,,
거치적거리는 소리,부정,,
거치적거치적,부정,,
거치적거치적하다,부정,,
거친,부정,,
거친 데가,부정,,
거친 말로,부정,,
거친 모양,부정,,
거친 목소리로,부정,,
거친 성질이나,부정,,
거친 소리가,부정,,
거칠거나 사납게,부정,,
거칠게,부정,,
거칠게 나는,부정,,
거칠게 된,부정,,
거칠게 말다툼하다,부정,,
거칠게 말함,부정,,
거칠게 몰아쉬는,부정,,
거칠게 몰아쉬다,부정,,
거칠게 소리가,부정,,
거칠게 쉬는,부정,,
거칠게 울려,부정,,
거칠게 일다,부정,,
거칠게 잇따라,부정,,
거칠게 행동하는,부정,,
거칠게 행동하다,부정,,
거칠고,부정,,
거칠고 가쁘게,부정,,
거칠고 격한,부정,,
거칠고 깔끄럽게,부정,,
거칠고 껄끄럽게,부정,,
거칠고 나쁘다,부정,,
거칠고 무뚝뚝하다,부정,,
거칠고 사나우며,부정,,
거칠고 세차다,부정,,
거칠고 심하다,부정,,
거칠고 험하게,부정,,
거칠고 험한,부정,,
거칠다,부정,,
거칠면서,부정,,
거칠면서 가쁘고,부정,,
거칠어져,부정,,
거침새가 없고,긍정,,
거침없이,긍정,,
거침이 없는,긍정,,
걱정,부정,,
걱정 같은,부정,,
걱정 따위로,부정,,
걱정 없이,긍정,,
걱정거리,부정,,
걱정과,부정,,
걱정과 근심,부정,,
걱정되거나,부정,,
걱정스러워서,부정,,
걱정스럽거나,부정,,
걱정스럽거나 조바심이,부정,,
걱정스럽다,부정,,
걱정으로,부정,,
걱정을,부정,,
걱정이,부정,,
걱정이 되거나,부정,,
걱정이 되는,부정,,
걱정이 되어,부정,,
걱정이 없고,긍정,,
걱정이 없는,긍정,,
걱정이나,부정,,
걱정이나 근심,부정,,
걱정이나 근심에,부정,,
걱정이나 언짢은,부정,,
걱정인 해를,부정,,
걱정하기는,부정,,
걱정하기는 하나,부정,,
걱정하는,부정,,
걱정하는 게,부정,,
걱정하다,부정,,
건강에 긍정적인,긍정,,
건강에 좋은,긍정,,
건강에 해로운,부정,,
건강하고,긍정,,
건강하고 온전하다,긍정,,
건강하고 온전한,긍정,,
건강하다,긍정,,
건강하여,긍정,,
건강하여 아름다운,긍정,,
건강하지 못하다,부정,,
건강한,긍정,,
건달처럼,부정,,
건둥건둥,긍정,,
건둥건둥하다,긍정,,
건둥반둥하다,부정,,
건드려 귀찮게,부정,,
건들거리고,부정,,
건들거리고 벙글거리며,부정,,
건들건들,부정,,
건들건들 지내다,부정,,
건들대다,부정,,
건망증이,부정,,
건망증이 심하며,부정,,
건방져,부정,,
건방지게,부정,,
건방지게 행동하다,부정,,
건방지네,부정,,
건방지다,부정,,
건방지며,부정,,
건방진,부정,,
건방짐,부정,,
건성 기침,부정,,
건성으로,부정,,
건성으로 묻다,부정,,
건장하다,긍정,,
건장한,긍정,,
건장한 모양,긍정,,
건전하고,긍정,,
건전하고 착실한,긍정,,
건전하지 못하고,부정,,
건전하지 못한,부정,,
건전하지 아니하게,부정,,
건전한,긍정,,
건전함,긍정,,
건정히,긍정,,
걷지 못하고,부정,,
걷지 못하는,부정,,
걸리거나,부정,,
걸리거나 막히는,부정,,
걸리다,부정,,
걸리적대다,부정,,
걸핏하면,부정,,
검사에 불합격한,부정,,
검소하다,긍정,,
검소한,긍정,,
검은 티끌이라는,부정,,
검질기게 구는,부정,,
검질기게 굴다,부정,,
겁,부정,,
겁나게,부정,,
겁나게 하기,부정,,
겁나다,부정,,
겁내다,부정,,
겁에,부정,,
겁에 지리다,부정,,
겁에 질려,부정,,
겁에 질려서,부정,,
겁에 질리거나,부정,,
겁을,부정,,
겁을 내거나,부정,,
겁을 내다,부정,,
겁을 먹거나,부정,,
겁을 먹어,부정,,
겁을 주며,부정,,
겁이 나거나,부정,,
겁이 나서,부정,,
겁이 많고,부정,,
겁이 많다,부정,,
겁이 많아,부정,,
겁이 많은,부정,,
겁이 많음,부정,,
겁자기 부서지거나,부정,,
겁쟁이,부정,,
것같이 아프다,부정,,
것보다 낫다,긍정,,
것을 샘하여,부정,,
것을 짓밟다,부정,,
것이 거북하거나,부정,,
것이 깨끗하고,긍정,,
것이 해결되어,긍정,,
겉만 그럴듯한,부정,,
겉면이 매끄럽고,긍정,,
겉모양의 아름다움과,긍정,,
겉치레,부정,,
게걸스럽게,부정,,
게걸스럽게 돌아다니는,부정,,
게걸스럽게 돌아다니다,부정,,
게우는,부정,,
게우는 소리,부정,,
게우는 소리가,부정,,
게울,부정,,
게울 듯이,부정,,
게워,부정,,
게워 내는,부정,,
게워 내다,부정,,
게으르거나,부정,,
게으르게,부정,,
게으르게 놀며,부정,,
게으르게 행동하는,부정,,
게으르게 행동하다,부정,,
게으르고,부정,,
게으르다,부정,,
게으름,부정,,
게으름을,부정,,
게으름을 피우며,부정,,
게으름이,부정,,
게으름이 나는,부정,,
게으름이나,부정,,
게으름이나 싫증,부정,,
게을러빠지다,부정,,
게을러터지다,부정,,
게을리하지 않고,긍정,,
겐트위한,부정,,
겨를이 없음,부정,,
겨우 빠듯하게,부정,,
겨우겨우,부정,,
겨우겨우 살기를,부정,,
겨운,부정,,
겨운 일에,부정,,
격노,부정,,
격노하다,부정,,
격동시키다,중립,,
격려되다,긍정,,
격려하다,긍정,,
격분,부정,,
격분하다,부정,,
격식에 맞아,긍정,,
격식을 갖추지 않고,부정,,
격에 어울리지,부정,,
격하게,부정,,
격하게 되다,부정,,
격하다,중립,,
격하시키다,부정,,
격한,부정,,
격한 감정이,부정,,
격한 기운이,부정,,
격한 느낌이,부정,,
겪거나 불쌍한,부정,,
견고하다,긍정,,
견디기 어렵게,부정,,
견디기가 어려울,부정,,
견디어 내다,긍정,,
견딜 수 없는,부정,,
견줄 수 없을 정도로,긍정,,
결기가,부정,,
결기가 나다,부정,,
결단성 없다,부정,,
결단성 없이,부정,,
결단성이 없고,부정,,
결단성이 없다,부정,,
결단을 못 내리는,부정,,
결딴날,부정,,
결딴날 듯이,부정,,
결막염,부정,,
결석,부정,,
결석하다,부정,,
결심 없이,부정,,
결점,부정,,
결점이 없도록,긍정,,
결정을 못하고,부정,,
결정하지 못하고,부정,,
결정하지 못하는,부정,,
결정하지 못하다,부정,,
결정하지 못함,부정,,
결핍,부정,,
결핍증,부정,,
결함,부정,,
결함을,부정,,
결함을 드러내어,부정,,
결함을 들추어,부정,,
결함을 풍자하였다,부정,,
결함이 없이,긍정,,
결함이 있다,부정,,
결함이나,부정,,
결함이나 잘못,부정,,
결함이나 잘못에,부정,,
결핵,부정,,
겸손하게,긍정,,
겸손하게 이르는,긍정,,
겸손하고,긍정,,
겸손하고 예의,긍정,,
겸손하고 예의 바른,긍정,,
겸손하다,긍정,,
겸손한,긍정,,
겸연쩍고,부정,,
겸연쩍다,부정,,
겹거나,부정,,
겹게,부정,,
겹게 여기다,부정,,
경건하다,긍정,,
경건한,긍정,,
경련,부정,,
경련을 일으키다,부정,,
경련이,부정,,
경련이 일어나,부정,,
경망스러우며,부정,,
경망스러우며 추잡하다,부정,,
경망스러운,부정,,
경망스러운 여자를,부정,,
경망스럽게,부정,,
경망스럽게 까부는,부정,,
경망스럽게 내어,부정,,
경망스럽게 내흔들거나,부정,,
경망스럽게 놀려,부정,,
경망스럽게 덤비며,부정,,
경망스럽게 떠벌리는,부정,,
경망스럽게 이리저리,부정,,
경망스럽게 추켰다,부정,,
경망스럽게 행동하는,부정,,
경망스럽게 행동하다,부정,,
경망스럽고,부정,,
경망스럽고 가볍게,부정,,
경망스럽고 방정맞은,부정,,
경망스럽다,부정,,
경망하게,부정,,
경망하게 행동하는,부정,,
경망하게 행동하다,부정,,
경망한,부정,,
경망한 짓,부정,,
경멸,부정,,
경멸하다,부정,,
경멸히,부정,,
경멸히 여겨,부정,,
경박스럽게,부정,,
경박스럽게 함부로,부정,,
경박하게,부정,,
경박하다,부정,,
경박한,부정,,
경박한 행동을,부정,,
경사스러운,긍정,,
경사스러운 일을,긍정,,
경상,부정,,
경솔하게,부정,,
경솔하게 까부는,부정,,
경솔하게 말하며,부정,,
경솔하게 행동하는,부정,,
경솔하게 행동하다,부정,,
경솔하게 행동하여,부정,,
경솔하고,부정,,
경솔하고 방정맞게,부정,,
경솔하다,부정,,
경솔한,부정,,
경솔한 모양,부정,,
경이로운,긍정,,
경이롭다,긍정,,
경치 좋은,긍정,,
경치가 뛰어나거나,긍정,,
경치가 맑고,긍정,,
경치가 아름다움을,긍정,,
경치가 아름답다,긍정,,
경치가 좋거나,긍정,,
경치도 좋음,긍정,,
경치를 즐기는,긍정,,
경쾌하다,긍정,,
경험이 많고,긍정,,
경험이 적거나,부정,,
경황이 없어,부정,,
계급을 올림,긍정,,
계급이 오름,긍정,,
계속 게워,부정,,
계속 공허하다,부정,,
계속 공허한,부정,,
계속 까부는,부정,,
계속 까불다,부정,,
계속 놀리다,부정,,
계속 다투다,부정,,
계속 떠들어,부정,,
계속 밉살스럽게,부정,,
계속 부정하다,부정,,
계속 불평을,부정,,
계속 서운하다,부정,,
계속 서운한,부정,,
계속 성을,부정,,
계속 아첨하는,부정,,
계속 어지럽고,부정,,
계속 쩔쩔매거나,부정,,
계속 토할,부정,,
계속 헤프게,부정,,
계속 흥겹게,긍정,,
고결 함,긍정,,
고결한 풍채를,긍정,,
고귀한,긍정,,
고귀한 사람,긍정,,
고급,긍정,,
고급스럽다,긍정,,
고급지다,긍정,,
고까워하는,부정,,
고까워하는 데가,부정,,
고까워하는 태도가,부정,,
고까워하는 태도를,부정,,
고난,부정,,
고단하다,부정,,
고단하여,부정,,
고달프다,부정,,
고도화,부정,,
고도화되다,부정,,
고되다,부정,,
고르고,긍정,,
고르고 반듯하게,긍정,,
고르고 야무지다,긍정,,
고르다,긍정,,
고르지 못하거나,부정,,
고르지 못한,부정,,
고르지 아니하게,부정,,
고르지 아니하고,부정,,
고르지 않고,부정,,
고름,부정,,
고름이 나오는,부정,,
고름이 생기는,부정,,
고름이 생기다,부정,,
고름집,부정,,
고리게,부정,,
고마운,긍정,,
고마운 마음,긍정,,
고마운 마음이,긍정,,
고마움,긍정,,
고마움을,긍정,,
고마움을 깊이,긍정,,
고마움을 나타내거나,긍정,,
고마움을 나타내는,긍정,,
고마워하다,긍정,,
고맙게,긍정,,
고맙게 베풀어,긍정,,
고맙게 여기는,긍정,,
고맙게 여기다,긍정,,
고맙게 여김,긍정,,
고맙다,긍정,,
고백,긍정,,
고부라지거나,중립,,
고부라지거나 비틀어지며,중립,,
고분고분하게,긍정,,
고분고분하고,긍정,,
고분고분하고 온순하게,긍정,,
고분고분하고 온순하다,긍정,,
고분고분하다,긍정,,
고분고분하지 못하고,부정,,
고비를,부정,,
고상하고,긍정,,
고상하다,긍정,,
고상한,긍정,,
고상한 기질과,긍정,,
고상한 남자,긍정,,
고상한 이야기,긍정,,
고상한 인품을,긍정,,
고상한 풍채,긍정,,
고생스러운,부정,,
고생을,부정,,
고생을 격다,부정,,
고생을 하다,부정,,
고생이나,부정,,
고생하거나,부정,,
고생하거나 두려워하여,부정,,
고생하다,부정,,
고성능,긍정,,
고소 공포증,부정,,
고약하게,부정,,
고약하다,부정,,
고약함,부정,,
고약해서,부정,,
고열,부정,,
고열 따위로,부정,,
고요하게,긍정,,
고요하게 함,긍정,,
고요하고,긍정,,
고요하고 아름다운,긍정,,
고요함,긍정,,
고요해짐,긍정,,
고운,긍정,,
고운 빛깔,긍정,,
고움,긍정,,
고자질함,부정,,
고작,부정,,
고장나다,부정,,
고지혈증,부정,,
고질병,부정,,
고집,부정,,
고집스레,부정,,
고집스레 싫다고,부정,,
고집을,부정,,
고집을 부리거나,부정,,
고집을 부리는,부정,,
고집을 부림,부정,,
고집이,부정,,
고집이 세어,부정,,
고집이 센,부정,,
고집이 있는,부정,,
고쳐,긍정,,
고쳐 세우다,긍정,,
고쳐 지음,긍정,,
고쳐 짓다,긍정,,
고충,부정,,
고치기 어려운,부정,,
고치긱 어려운,부정,,
고치다,긍정,,
고치어 바로잡다,긍정,,
고타분히,부정,,
고통,부정,,
고통스러운,부정,,
고통스러운 상태,부정,,
고통스러운 일이나,부정,,
고통스럽거나,부정,,
고통스럽게,부정,,
고통스럽게 일함,부정,,
고통스럽다,부정,,
고통을,부정,,
고통을 당하여,부정,,
고통을 이른다,부정,,
고통을 주다,부정,,
고통을 주며,부정,,
고통이,부정,,
고통이 지속되는,부정,,
고통이나,부정,,
고통이나 곤란에,부정,,
고통이나 시달림으로,부정,,
고통이나 어려운,부정,,
고통이라는,부정,,
고통이라는 뜻으로,부정,,
고품질,긍정,,
고한,부정,,
고함,부정,,
고함을 지르면서,부정,,
고혈압,부정,,
곤궁하고,부정,,
곤궁하다,부정,,
곤궁하여,부정,,
곤궁함,부정,,
곤란에,부정,,
곤란에 대하여,부정,,
곤란이나,부정,,
곤란이나 시련이,부정,,
곤란하게,부정,,
곤란하게 되다,부정,,
곤란하다,부정,,
곤란하여 지는,부정,,
곤란한,부정,,
곤란한 병,부정,,
곤란한 사정을,부정,,
곤란한 상태를,부정,,
곤장으로 치던,부정,,
곤혹스러운,부정,,
곤혹스럽다,부정,,
곧게,긍정,,
곧게 되다,긍정,,
곧고,긍정,,
곧고 올바름,긍정,,
곧다,긍정,,
곧바르지 아니하고,부정,,
곧잘 흥분하는,부정,,
곧장 나아가다,긍정,,
곧지 못하고,부정,,
골골 앓아서,부정,,
골나다,부정,,
골똘하게,중립,,
골리는,부정,,
골리는 짓,부정,,
골이 나게,부정,,
곪느라고,부정,,
곪느라고 쑤시다,부정,,
곯려 주다,부정,,
곯리거나,부정,,
곯아서,부정,,
곯아서 물크러질,부정,,
곯은,부정,,
곯은 듯하다,부정,,
